新闻标题,发布时间,新闻链接
比亚迪：已有多款新能源重卡产品，回应做卡车相关建议,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvmmr3258101.shtml
比亚迪：投资者建议投资影视嵌入高端品牌形象，董秘致谢,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvmmr3256933.shtml
比亚迪：2025年钠离子电池储能项目进展显著，累积申请专利120余项,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvmmv2242450.shtml
比亚迪：坚持技术研发与品牌塑造并重，回应市值及品牌建议,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvmmv2233655.shtml
比亚迪：投资者建议打造可出租算力电动车，董秘回应感谢,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvmmp6469159.shtml
比亚迪：投资者询问港股比亚迪电子储能电源业务，董秘已作回复,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvmmp6462407.shtml
公司何时会出具备eCall功能的车？比亚迪回应,2026-06-18 16:20,https://finance.sina.com.cn/jjxw/2026-06-18/doc-inicvmmp6464253.shtml
大行评级丨瑞银：上调比亚迪目标价至135港元，维持“买入”评级,2026-06-18 16:20,https://finance.sina.com.cn/stock/bxjj/2026-06-18/doc-inicvmmp6464853.shtml
比亚迪：多款车型有E - Call功能，可查官网了解具体配置,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvmmp6457168.shtml
比亚迪：不便在互动易预估单季度净利润，二季度盈利看半年报,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvfct3349424.shtml
真实股权曝光，谁在真正掌控万亿比亚迪？第一大股东竟是透明墙,2026-06-18 16:20,https://k.sina.cn/article_7879996919_1d5af35f7020020cc2.html
比亚迪：秉持技术创新，深耕需求推产品及技术方案,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-06-18/doc-inicvfcr6572658.shtml
新能源车周报：事关新能源重卡渗透率，11部门联合发布,2026-06-18 16:20,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002bsvg
插混/纯电双动力，纯电版900km最高续航，海狮08动力信息曝光！,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/cn/2026-06-18/doc-inicvfcr6558192.shtml
闪电快讯｜比亚迪全尺寸闪充旗舰SUV大唐EV上市，售价23.99万元起,2026-06-18 16:20,https://finance.sina.com.cn/stock/t/2026-06-18/doc-inicvfcr6514173.shtml
汽车芯片大战升级：争夺智能汽车控制权,2026-06-18 16:20,https://finance.sina.com.cn/stock/relnews/cn/2026-06-18/doc-inicvfcr6486418.shtml
打破智驾权责困局！比亚迪首创车企兜底模式重塑行业安全标准,2026-06-18 16:20,https://finance.sina.com.cn/roll/2026-06-18/doc-inicuyvt6605657.shtml
德赛西威：比亚迪是公司客户之一,2026-06-18 16:20,https://finance.sina.com.cn/jjxw/2026-06-18/doc-inicuyvx5583855.shtml
昨晚，永宁门出征的大唐EV，让全尺寸纯电SUV们不“永宁”了,2026-06-18 16:20,https://finance.sina.com.cn/stock/t/2026-06-18/doc-inicuyvt6541678.shtml
财中ETF风向标｜大盘成长ETF博时(159203)盘中涨1.77%，中际旭创等成分股领涨,2026-06-18 16:20,https://finance.sina.com.cn/stock/zqgd/2026-06-18/doc-inicuyvv3316019.shtml
1-5月比亚迪新能源累计销量超140万辆，持续领跑国内车市,2026-06-18 16:20,https://cj.sina.cn/articles/view/5115326071/130e5ae7702002wnlk
瑞银：上调比亚迪股份(01211)目标价至135港元 维持“买入”评级,2026-06-18 16:20,https://finance.sina.com.cn/stock/hkstock/hkgg/2026-06-18/doc-inicuyvx5507439.shtml
比亚迪全尺寸闪充旗舰SUV大唐EV以23.99万元起售价上市 新能源“大车”会否重新洗牌？,2026-06-18 16:20,https://finance.sina.com.cn/stock/t/2026-06-18/doc-inicuupv6626403.shtml
比亚迪退出名下一公司,2026-06-18 16:20,https://finance.sina.com.cn/stock/t/2026-06-18/doc-inicuupv6625125.shtml
台积电产能吃紧，谷歌/AMD/比亚迪转向三星晶圆代工,2026-06-18 16:20,https://finance.sina.com.cn/wm/2026-06-18/doc-inicuupv6620594.shtml
财联社汽车早报6月18日,2026-06-18 16:20,https://cj.sina.cn/articles/view/2868676035/aafc85c302001r7vi
比亚迪全尺寸闪充旗舰SUV大唐EV上市 售价23.99万元起,2026-06-18 16:20,https://finance.sina.com.cn/roll/2026-06-18/doc-inicuuqc2296604.shtml
比亚迪将在韩推出插电混动车型进一步拓展市场,2026-06-18 16:20,https://finance.sina.com.cn/jjxw/2026-06-18/doc-inicuqfz3398022.shtml
硬刚一众“9系”，比亚迪大唐EV上市23.99万元起,2026-06-18 16:20,https://finance.sina.com.cn/jjxw/2026-06-18/doc-inicuqfz3382026.shtml
车企密集牵手能源巨头 共建多元补能网络,2026-06-18 16:20,https://finance.sina.com.cn/jjxw/2026-06-18/doc-inicuixz6643164.shtml
车企苦追的AI Agent，其实是给两年前的营销故事「填坑」,2026-06-18 16:20,https://t.cj.sina.cn/articles/view/7299603823/1b3171d6f001019paa
每天车闻：8家老牌车企被移出车企名录 整车生产资质被冻结，比亚迪交付英国第10万台新能源车,2026-06-18 16:20,https://finance.sina.com.cn/wm/2026-06-17/doc-inicttap5914816.shtml
23.99万起！大唐EV炸裂上市，比亚迪再次挥起屠刀,2026-06-18 16:20,https://finance.sina.com.cn/stock/t/2026-06-17/doc-inicttar2693313.shtml
23.99万元起！大唐EV上市，路天：到今年年底，比亚迪将建成2万座闪充站,2026-06-18 16:20,https://finance.sina.com.cn/roll/2026-06-17/doc-inicttam3705165.shtml
同样是智驾安全，一个让用户买单，一个让车企买单,2026-06-18 16:20,https://t.cj.sina.cn/articles/view/5582959265/14cc532a102701amni
车企股东大会，成股东们的持仓被套“诉苦大会”？质疑与回应该被看见,2026-06-18 16:20,https://cj.sina.cn/articles/view/7913909554/1d7b4ad3200102eopi
宁德时代曾毓群“炮轰”动力电池行业乱象：部分竞争对手只会挖人偷技术，低价竞争源于心态浮躁、行为短视,2026-06-18 16:20,https://finance.sina.com.cn/roll/2026-06-17/doc-inictnup3787458.shtml
2026中国企业全球影响力100强出炉：民营企业占53%！,2026-06-18 16:20,https://cj.sina.cn/articles/view/6334665644/1799353ac00101k9fk
比亚迪建成6682座闪充站覆盖321城，二代刀片电池9分钟快充,2026-06-18 16:20,https://t.cj.sina.cn/articles/view/1826017320/6cd6d02804001lnys
实在挤不进台积电，比亚迪、谷歌、AMD等企业找三星接洽芯片代工,2026-06-17 19:18,https://t.cj.sina.cn/articles/view/1931093993/731a27e900101k6a6
汽车大佬为何集体拉响红色警报？,2026-06-17 19:18,https://finance.sina.com.cn/wm/2026-06-17/doc-inicthnp7087946.shtml
当比亚迪持续领跑，世界该重新认识“中国智造”了,2026-06-17 19:18,https://finance.sina.com.cn/wm/2026-06-17/doc-inicthnp7064514.shtml
以技术底气扛起安全责任，比亚迪兜底引领智驾行业发展,2026-06-17 19:18,https://t.cj.sina.cn/articles/view/1346800393/50468b0900101ft8s
曝比亚迪加码巴西电池产能布局,2026-06-17 19:18,https://finance.sina.com.cn/stock/relnews/cn/2026-06-17/doc-inicthnp7024271.shtml
财中ETF风向标｜CS新能车指数盘中跌逾1%权重股普跌，新能源车ETF华安(516660)盘中跌1.26%,2026-06-17 19:18,https://finance.sina.com.cn/stock/zqgd/2026-06-17/doc-inictaet3833157.shtml
L3级自动驾驶落地在即！“新国标”公示、行业“大佬”给出明确时间点,2026-06-17 19:18,https://cj.sina.cn/articles/view/2868676035/aafc85c302001r6y6
财中ETF风向标｜新能源车ETF东财(159637)午盘跌1.13%，CS新能车指数承压,2026-06-17 19:18,https://cj.sina.cn/articles/view/7935425109/1d8fcfa5502001g3q0
