date,open,high,low,close,volume,pe,pb,sentiment,ma5,ma20,macd_dif,macd_dea,macd_hist,rsi14,golden_cross,death_cross,entry_signal,exit_signal,position,turnover,fee,strategy_ret,benchmark_ret,strategy_nav,benchmark_nav,period
2020-04-28,18.44,18.63,17.71,18.43,12865794.0,96.29,2.97,0.5,18.784,18.5485,0.0998979155665438,0.0869701913098145,0.0258554485134585,48.00965491566264,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.8738860754955342,1.182926829268292,训练集
2020-04-29,18.83,19.23,18.62,18.76,16512556.0,96.29,2.97,0.5,18.692,18.5625,0.0960505327222769,0.088786259592307,0.0145285462599397,51.44395575234338,0,0,0,0,1.0,0.0,0.0,0.017905588714053344,0.017905588714053344,0.8895335201462954,1.2041078305519892,训练集
2020-04-30,19.03,19.6,18.93,19.4,21887625.0,96.29,2.97,0.5,18.804,18.617,0.1429957395226679,0.0996281555783792,0.0867351678885774,57.33077984504,0,0,0,0,1.0,0.0,0.0,0.03411513859275028,0.03411513859275028,0.9198800794689833,1.245186136071886,训练集
2020-05-01,19.03,19.6,18.93,19.4,0.0,96.29,2.97,0.5,18.884,18.6975,0.1781465911238555,0.1153318426874745,0.1256294968727621,57.33077984504,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.9198800794689833,1.245186136071886,训练集
2020-05-04,19.03,19.6,18.93,19.4,0.0,96.29,2.97,0.5,19.078,18.778,0.2036562715393302,0.1329967284578456,0.1413190861629691,57.33077984504,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.9198800794689833,1.245186136071886,训练集
2020-05-05,19.03,19.6,18.93,19.4,0.0,96.29,2.97,0.5,19.272,18.837,0.2213216191977309,0.1506617066058227,0.1413198251838165,57.33077984504,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.9198800794689833,1.245186136071886,训练集
2020-05-06,19.21,20.22,19.12,20.11,23190623.0,173.57,3.24,0.5,19.542,18.948,0.2892779842383852,0.1783849621323352,0.2217860442121,63.867410615946696,0,0,0,0,1.0,0.0,0.0,0.03659793814432999,0.03659793814432999,0.9535457937175905,1.2907573812580222,训练集
2020-05-07,20.11,20.11,19.4,19.44,22511802.0,173.57,3.24,0.5,19.55,19.020000000000003,0.2857762419284846,0.1998632180915651,0.171826047673839,55.263793430210974,0,0,0,0,1.0,0.0,0.0,-0.03331675783192434,-0.03331675783192434,0.9217767394266515,1.2477535301668798,训练集
2020-05-08,19.44,19.57,19.18,19.34,17147173.0,173.57,3.24,0.5,19.538,19.1045,0.2717987943417732,0.2142503333416067,0.115096922000333,54.0925448853688,0,0,0,0,1.0,0.0,0.0,-0.0051440329218107594,-0.0051440329218107594,0.9170350895324815,1.2413350449293958,训练集
2020-05-11,19.18,19.3,18.8,19.05,19071621.0,173.57,3.24,0.5,19.468,19.1545,0.2346164773511354,0.2183235621435124,0.0325858304152459,50.73444241099233,0,0,0,0,1.0,0.0,0.0,-0.01499482936918295,-0.01499482936918295,0.9032843048393885,1.2227214377406925,训练集
